Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.document.fr.core.json	12166	-	0	0	0	0	0	0	6	167	0	0	0	0	0	0	0	0	0	0	118	131	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-core-assigned-author.json	2770	9	1	0	0	1	0	17	0	172	0	0	1	0	0	0	0	1	0	0	118	1392	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-assigned-custodian.json	1695	5	0	0	0	0	0	19	0	12	0	0	0	0	0	0	0	0	0	0	51	308	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-assigned-entity.json	2819	7	1	0	0	0	0	55	0	19	0	0	0	0	0	0	0	0	0	0	118	295	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-associated-entity.json	1666	7	0	0	0	0	0	44	0	11	0	0	0	0	0	0	0	1	0	0	58	182	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fr-core-authenticator.json	1626	5	0	0	0	0	0	45	0	12	0	0	0	0	0	0	0	0	0	0	57	164	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-author.json	3675	6	0	0	0	0	0	45	0	20	0	0	0	0	0	0	0	0	0	0	195	225	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-fr-core-authorization.json	1668	6	0	0	0	0	0	27	0	11	0	0	0	0	0	0	0	0	0	0	60	144	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-component-of.json	1599	6	1	0	0	0	0	25	0	10	0	0	0	0	0	0	0	0	0	0	58	131	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-custodian.json	1545	5	0	0	0	0	0	24	0	9	0	0	0	0	0	0	0	0	0	0	57	137	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-data-enterer.json	1634	5	0	0	0	0	0	27	0	8	0	0	0	0	0	0	0	1	0	0	69	128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-documentation-of.json	1808	7	0	0	0	0	0	25	0	6	0	0	0	0	0	0	0	0	0	0	65	122	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fr-core-inFulfillment-of.json	1621	5	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	66	121	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-informant.json	3067	6	1	0	0	0	0	216	0	9	0	0	1	0	0	0	0	0	0	0	110	169	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-information-recipient.json	1700	5	0	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	48	112	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-legal-authenticator.json	1686	6	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	0	0	0	55	120	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-participant.json	1664	5	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	64	121	0	0	0	1	0	2
fsh-generated/resources/StructureDefinition-fr-core-patient-role.json	2696	5	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	0	97	110	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-patient.json	2872	7	1	0	0	0	0	5	0	16	0	0	0	0	0	0	0	0	0	0	131	166	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-core-performer.json	1654	5	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	0	69	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-person.json	3313	6	0	0	0	0	0	7	0	18	0	0	0	0	0	0	0	1	0	0	171	249	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-record-target.json	2670	5	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	99	106	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-related-document.json	1630	5	0	0	0	0	0	6	0	10	0	0	1	0	0	0	0	0	0	0	47	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-related-entity.json	4173	7	1	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	140	198	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-service-event.json	1858	5	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	60	102	0	0	0	1	0	0
fsh-generated/resources/ValueSet-TRER260HL7RoleClassVS.json	911	5	0	0	0	0	0	0	1	396	0	0	0	0	0	0	0	0	0	0	12	9856	0	0	0	0	0	0
input/profiles/PN.json	8432	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	26	255	0	0	0	1	0	0
